"method","t_ladder","sim","iterations","m0","m4","m5","m6","m1","m2","m3"
1,"2",26,-1,45140,0,0,0,4038,0,822
1,"2",26,1,45140,0,0,0,4038,0,822
1,"2",26,2,83881,1912,860,0,5949,1800,5598
1,"2",27,-1,40268,2980,0,0,0,228,6524
1,"2",27,1,40268,2980,0,0,0,228,6524
1,"2",27,2,86098,6730,929,74,0,288,5881
1,"2",28,-1,46767,1322,1911,0,0,0,0
1,"2",28,1,46767,1322,1911,0,0,0,0
1,"2",28,2,86003,3659,5113,4749,289,187,0
1,"2",29,-1,42954,0,0,0,2700,1146,3200
1,"2",29,1,42954,0,0,0,2700,1146,3200
1,"2",29,2,86121,0,0,1831,6553,3631,1864
1,"2",30,-1,42556,4576,2548,320,0,0,0
1,"2",30,1,42556,4576,2548,320,0,0,0
1,"2",30,2,81834,6531,0,5,673,929,10028
1,"2",31,-1,42969,1038,0,0,892,0,5101
1,"2",31,1,42969,1038,0,0,892,0,5101
1,"2",31,2,82867,6958,0,166,8682,0,1327
1,"2",32,-1,42453,2325,0,0,3231,0,1991
1,"2",32,1,42453,2325,0,0,3231,0,1991
1,"2",32,2,83622,3004,0,0,1165,920,11289
1,"2",33,-1,43737,1474,4470,319,0,0,0
1,"2",33,1,43737,1474,4470,319,0,0,0
1,"2",33,2,85537,6117,4853,0,3493,0,0
1,"2",34,-1,42397,29,0,184,3939,833,2618
1,"2",34,1,42397,29,0,184,3939,833,2618
1,"2",34,2,82452,0,0,0,10651,0,6897
1,"2",35,-1,43910,0,0,0,4254,810,1026
1,"2",35,1,43910,0,0,0,4254,810,1026
1,"2",35,2,84090,492,1747,802,2002,10175,692
1,"2",36,-1,44133,0,0,0,2397,0,3470
1,"2",36,1,44133,0,0,0,2397,0,3470
1,"2",36,2,85133,0,0,4025,4990,0,5852
1,"2",37,-1,43873,3329,2457,341,0,0,0
1,"2",37,1,43873,3329,2457,341,0,0,0
1,"2",37,2,83654,1541,351,1369,1338,1854,9893
1,"2",38,-1,44548,235,5217,0,0,0,0
1,"2",38,1,44548,235,5217,0,0,0,0
1,"2",38,2,85170,4651,0,117,4726,221,5115
1,"2",39,-1,43380,931,0,4405,0,1284,0
